sensor1,sensor2,sensor3,sensor4,sensor5,label
0.5672994,0.587544,0.6809552,0.4382151,0.4027408,0
0.4674642,0.4834372,0.6809552,0.441427,0.5277233,0
0.5672994,0.587544,0.6809552,0.4382151,0.4027408,0
0.5672994,0.587544,0.6809552,0.48649,0.4342953,0
0.5672994,0.587544,0.6809552,0.4382151,0.4027408,0
0.5672994,0.587544,0.6809552,0.4382151,0.4226562,0
0.5672994,0.587544,0.7019318,0.4382151,0.4027408,0
0.5672994,0.587544,0.6809552,0.4382151,0.4027408,0
0.5672994,0.587544,0.6809552,0.4382151,0.4027408,0
0.5672994,0.587544,0.6942154,0.4382151,0.4027408,0
0.5672994,0.587544,0.7338808,0.5540568,0.5277233,1
0.5672994,0.587544,0.7338808,0.5540568,0.5277233,1
0.5672994,0.587544,0.7338808,0.5540568,0.5277233,1
0.5672994,0.587544,0.7338808,0.5540568,0.5277233,1
0.5672994,0.587544,0.7338808,0.5540568,0.5277233,1
0.5672994,0.587544,0.7338808,0.5540568,0.5277233,1
0.5672994,0.587544,0.7338808,0.5540568,0.5277233,1
0.5672994,0.587544,0.7338808,0.4617412,0.4058461,1
0.5672994,0.587544,0.7338808,0.5540568,0.5277233,1
0.5672994,0.587544,0.7338808,0.5540568,0.5277233,1
0.4559659,0.587544,0.6809552,0.4382151,0.4027408,2
0.4559659,0.587544,0.6809552,0.4382151,0.4027408,2
0.4559659,0.587544,0.6809552,0.4382151,0.4078831,2
0.4559659,0.587544,0.6809552,0.4382151,0.4027408,2
0.4559659,0.587544,0.6809552,0.4382151,0.4027408,2
0.4562748,0.587544,0.6809552,0.4438666,0.4027408,2
0.456511,0.587544,0.6809552,0.4382151,0.4027408,2
0.4559659,0.587544,0.6809552,0.4382943,0.4027408,2
0.4559659,0.587544,0.6809552,0.4382151,0.415493,2
0.4559659,0.587544,0.6809552,0.4382151,0.4027408,2
0.5672994,0.4834372,0.6809552,0.4382151,0.4552061,3
0.5672994,0.4834372,0.6809552,0.4382151,0.4027408,3
0.5672994,0.4834372,0.7338808,0.4382151,0.5277233,3
0.5672994,0.4834372,0.6809552,0.4382151,0.4027408,3
0.5672994,0.4834372,0.6886906,0.4382151,0.4216279,3
0.5672994,0.4834372,0.6809552,0.4382151,0.4664648,3
0.5672994,0.4834372,0.6809552,0.4382151,0.4034668,3
0.5672994,0.4834372,0.6976025,0.4382151,0.5277233,3
0.5672994,0.4834372,0.6809552,0.4382151,0.4034668,3
0.5672994,0.4834372,0.6809552,0.4382151,0.4027408,3
0.4559659,0.4834816,0.6809552,0.4492006,0.5277233,4
0.4559659,0.4834816,0.6809552,0.454944,0.5277233,4
0.5672994,0.4834372,0.6809552,0.452782,0.5277233,4
0.5672994,0.4834372,0.6809552,0.454944,0.5277233,4
0.5672994,0.4834372,0.6809552,0.454944,0.5277233,4
0.5672994,0.4834816,0.6809552,0.4402968,0.5277233,4
0.5672994,0.4834372,0.6809552,0.454944,0.5277233,4
0.5672994,0.4834816,0.6809552,0.4382151,0.5277233,4
0.5672994,0.4834372,0.6809552,0.454944,0.5277233,4
0.5672994,0.4834816,0.6809552,0.4382151,0.5277233,4
0.5672994,0.587544,0.6809552,0.5540568,0.4027408,5
0.5672994,0.587544,0.6809552,0.5540568,0.4027408,5
0.5672994,0.587544,0.6809552,0.5540568,0.4027408,5
0.5672994,0.587544,0.6809552,0.5540568,0.4027408,5
0.5672994,0.587544,0.6809552,0.5540568,0.4027408,5
0.5672994,0.587544,0.6809552,0.5540568,0.4027408,5
0.5672994,0.587544,0.6809552,0.5540568,0.4027408,5
0.5672994,0.587544,0.6809552,0.5540568,0.4027408,5
0.5672994,0.587544,0.6809552,0.5540568,0.4027408,5
0.5672994,0.587544,0.6809552,0.5540568,0.4027408,5
