sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23,sensor24,time
0.5388048,0.5762194,0.5721009,0.6204446,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3686866,0.3391758,0.3520108,0.3490047,0.3425801,0.3733333
0.5388048,0.5762194,0.6529759,0.6204446,0.4975913,0.5266653,0.5231501,0.4941821,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3686866,0.3391758,0.3520108,0.3490047,0.3351119,0.5932083
0.5388048,0.5762194,0.6529759,0.6204446,0.4975913,0.5266653,0.5231501,0.4941821,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3686866,0.3391758,0.3520108,0.3490047,0.3351119,0.7932212
0.5388048,0.5762194,0.6529759,0.6204446,0.4975913,0.5266653,0.5231501,0.498601,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3686866,0.3391758,0.3520108,0.3490047,0.3351119,0.9932233
0.5388048,0.5762194,0.6529759,0.6204446,0.4975913,0.5266653,0.5231501,0.4941821,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3686866,0.3391758,0.3520108,0.3490047,0.3351119,1.193923
0.5388048,0.5762194,0.6529759,0.6204446,0.4975913,0.5266653,0.5231501,0.4941821,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3686866,0.3391758,0.3520108,0.3490047,0.3351119,1.393923
0.5388048,0.5762194,0.6530342,0.6204446,0.4975913,0.5266653,0.5231501,0.498601,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3686866,0.3391758,0.3520108,0.3490047,0.3351119,1.593924
0.5388048,0.5762194,0.6529759,0.6204446,0.4975913,0.5266653,0.5231501,0.498601,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3686866,0.3391758,0.3520108,0.3490047,0.3351119,1.794752
0.5388048,0.5762194,0.6529759,0.6204446,0.4975913,0.5266653,0.5231501,0.498601,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3686866,0.3391758,0.3520108,0.3490047,0.3351119,1.994754
0.5394154,0.5762194,0.6291612,0.6204446,0.4975913,0.5266653,0.5231501,0.498601,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3686866,0.3391758,0.3520108,0.3490047,0.3351119,2.194755
