sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,label
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.527529,0.5014734,0,0.4392799,0.601296,2
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.4040134,0.5014734,0,0.4392799,0.601296,2
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.4024629,0.367691,0,0.5549284,0.5020994,3
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.4024629,0.367691,0,0.5549284,0.5020994,3
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.4024629,0.367691,0,0.5549284,0.5020994,3
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3859342,0.4024629,0.367723,0,0.5549284,0.5020994,3
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.4024629,0.367691,0,0.5549284,0.5020994,3
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.4024629,0.367691,0,0.5549284,0.5020994,3
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.4024629,0.367691,0,0.5549284,0.5020994,3
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.4024629,0.367691,0,0.5549284,0.5020994,3
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.4024629,0.367691,0,0.5549284,0.5020994,3
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.5119639,0.4024629,0.367691,0,0.5549284,0.5020994,3
0.5388713,0.616268,0.6535186,0.6048765,0.3196646,0.5119639,0.4024629,0.4377133,0,0.4895966,0.5020994,4
0.5388713,0.616268,0.6535186,0.6048765,0.4203398,0.5119639,0.4024629,0.5014734,0,0.5009657,0.5020994,4
0.5388713,0.616268,0.6535186,0.6048765,0.4591536,0.5119639,0.4024629,0.3719527,0,0.4392799,0.5020994,4
0.4708508,0.616268,0.6535186,0.6048765,0.4591536,0.5119639,0.4024629,0.3694921,0,0.4392799,0.5020994,4
0.4458416,0.616268,0.6535186,0.6048765,0.4591536,0.5119639,0.4024629,0.3719527,0,0.4392799,0.5020994,4
0.4184535,0.616268,0.6535186,0.6048765,0.4591536,0.5119639,0.4024629,0.4412309,0,0.4392799,0.5020994,4
0.4184535,0.616268,0.6535186,0.6048765,0.4591536,0.5119639,0.4024629,0.4013168,0,0.4392799,0.5020994,4
0.5388713,0.616268,0.6536131,0.6048765,0.4591536,0.5119639,0.4024629,0.5014734,0,0.4961276,0.5020994,4
0.5388713,0.616268,0.6535186,0.6048765,0.4591536,0.5119639,0.4024629,0.3719527,0,0.4743693,0.5020994,4
0.5363875,0.616268,0.6535186,0.6048765,0.4591536,0.5119639,0.4024629,0.3744958,0,0.4392799,0.5020994,4
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.527529,0.5014734,0,0.4617769,0.5020994,5
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.527529,0.5014734,0,0.5478339,0.5020994,5
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.527529,0.5014734,0,0.484735,0.5020994,5
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.527529,0.5014734,0,0.5478339,0.5020994,5
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.527529,0.5014734,0,0.5478339,0.5020994,5
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.527529,0.5014734,0,0.5549284,0.5020994,5
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.527529,0.5014734,0,0.5549284,0.5020994,5
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.527529,0.5014734,0,0.5549284,0.5020994,5
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.527529,0.5014734,0,0.5478339,0.5020994,5
0.5388713,0.616268,0.7137083,0.6048765,0.4591536,0.3814876,0.527529,0.5014734,0,0.5478339,0.5020994,5
