sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,time
0.5388048,0.5762194,0.5717152,0.6204446,0.4975913,0.5266653,0.5231501,0.5908623,0.4549735,0.4782891,0.4758098,0.5609069,0.4134873,0.4314145,0.4308129,0.4219951,0.3749748,0.4089034,0.3890781,0.4105921,0.3733333
0.5388048,0.5762194,0.5717152,0.6118647,0.4975913,0.5266653,0.5231501,0.5908623,0.4549735,0.4782891,0.4758098,0.5497984,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.4089034,0.3890781,0.3740981,0.5807813
0.5388048,0.5762194,0.5717152,0.6118647,0.4975913,0.5266653,0.5231501,0.5908623,0.4549735,0.4782891,0.4758098,0.5499898,0.4134873,0.4314145,0.4308129,0.4535792,0.3749748,0.4089034,0.3890781,0.3740981,0.7813872
0.5388048,0.5762194,0.5717152,0.6157935,0.4975913,0.5266653,0.5231501,0.5908623,0.4549735,0.4782891,0.4758098,0.5499898,0.4134873,0.4314145,0.4308129,0.4535792,0.3749748,0.4089034,0.3890781,0.3740981,0.9813892
0.5388048,0.5762194,0.5717152,0.6185491,0.4975913,0.5266653,0.5231501,0.5896785,0.4549735,0.4782891,0.4758098,0.4833911,0.4134873,0.4314145,0.4308129,0.4619225,0.3749748,0.4089034,0.3890781,0.3740981,1.181952
0.5388048,0.5762194,0.5717152,0.6110271,0.4975913,0.5266653,0.5231501,0.5896785,0.4549735,0.4782891,0.4758098,0.4914644,0.4134873,0.4314145,0.4308129,0.4619225,0.3749748,0.4161861,0.3890781,0.3778132,1.382224
0.5388048,0.5762194,0.5717152,0.5437173,0.4975913,0.5266653,0.5231501,0.5896785,0.4549735,0.4782891,0.4758098,0.4538948,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.4672272,0.3890781,0.3835894,1.582225
0.5388048,0.5762194,0.5717152,0.5405138,0.4975913,0.5266653,0.5231501,0.5037526,0.4549735,0.4782891,0.4758098,0.4527321,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.4519751,0.3890781,0.3835894,1.782233
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3686866,1.982234
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3686866,2.182235
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4227372,0.3749748,0.3899824,0.3890781,0.3880494,2.382235
0.6285489,0.5762194,0.6530342,0.6204446,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3757443,2.582236
0.6285489,0.5762194,0.6530342,0.6204446,0.5477102,0.5266653,0.523298,0.5335363,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.4298787,2.782253
