sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,label
0.5470218,0.6176194,0.6291743,0.5786378,0.5040734,0.6701056,0.5122031,0
0.5470218,0.6761938,0.6291743,0.4713979,0.5040734,0.6701056,0.3820243,0
0.5470218,0.6761938,0.6955788,0.5786378,0.5040734,0.6701056,0.5122031,0
0.5470218,0.6761938,0.6955788,0.5786378,0.5040734,0.7258992,0.3820243,0
0.5470218,0.6761938,0.6443857,0.5786378,0.5040734,0.7258992,0.3820243,0
0.5470218,0.6761938,0.6955788,0.5786378,0.4607143,0.7258992,0.3820243,0
0.5470218,0.6761938,0.6291743,0.5786378,0.5040734,0.7258992,0.3820243,0
0.5470218,0.6761938,0.6955788,0.5786378,0.5040734,0.6701056,0.4451363,0
0.5470218,0.6086155,0.6291743,0.5786378,0.5040734,0.6701056,0.3820243,0
0.5470218,0.6761938,0.6291743,0.5786378,0.5040734,0.7258992,0.3820243,0
0.5470218,0.6761938,0.6955788,0.5786378,0.5040734,0.7258992,0.5122031,1
0.5470218,0.6761938,0.6955788,0.5786378,0.5040734,0.7258992,0.5122031,1
0.5470218,0.6761938,0.6955788,0.5786378,0.5040734,0.7258992,0.5122031,1
0.5470218,0.6761938,0.6955788,0.5786378,0.5040734,0.7258992,0.5122031,1
0.5470218,0.6761938,0.6955788,0.5786378,0.5040734,0.7258992,0.5122031,1
0.5470218,0.6761938,0.6955788,0.5786378,0.5040734,0.7258992,0.5122031,1
0.5470218,0.6761938,0.6955788,0.5786378,0.5040734,0.7258992,0.5122031,1
0.5470218,0.6761938,0.6291743,0.5786378,0.5040734,0.7258992,0.4436138,1
0.5470218,0.6761938,0.6955788,0.5786378,0.5040734,0.7258992,0.5122031,1
0.5470218,0.6761938,0.6955788,0.5786378,0.5040734,0.7258992,0.5122031,1
0.5256381,0.6029773,0.6562108,0.5786378,0.3711665,0.7258992,0.5122031,2
0.4415416,0.6029773,0.6291743,0.5786378,0.3752527,0.7258992,0.4604936,2
0.4287942,0.6029773,0.6291743,0.5786378,0.3716598,0.7258992,0.5122031,2
0.4287942,0.6029773,0.6323834,0.5786378,0.4254571,0.7258992,0.5122031,2
0.4287942,0.6029773,0.6323834,0.5786378,0.3716598,0.7258992,0.5122031,2
0.5470218,0.6029773,0.6323834,0.5786378,0.3722682,0.7258992,0.4449047,2
0.5470218,0.6029773,0.6955788,0.5786378,0.3711665,0.7258992,0.5122031,2
0.4287942,0.6029773,0.6291743,0.5786378,0.4641201,0.7258992,0.5097294,2
0.5221289,0.6029773,0.6323834,0.5786378,0.3711665,0.7258992,0.5122031,2
0.5213432,0.6029773,0.6291743,0.5786378,0.5040734,0.7258992,0.4449047,2
0.5470218,0.6761938,0.6291743,0.4713979,0.5040734,0.7258992,0.3820243,3
0.5470218,0.6761938,0.6291743,0.4713979,0.5040734,0.7258992,0.3820243,3
0.5470218,0.6761938,0.6291743,0.4729049,0.5040734,0.7258992,0.3820243,3
0.5470218,0.6598909,0.6291743,0.4713979,0.5040734,0.7258992,0.3820243,3
0.5470218,0.6761938,0.6291743,0.4713979,0.5040734,0.7258992,0.3820243,3
0.5470218,0.6761938,0.6291743,0.4713979,0.5040734,0.7258992,0.3820243,3
0.5470218,0.6761938,0.6291743,0.4713979,0.5040734,0.7258992,0.3820243,3
0.5470218,0.6761938,0.6291743,0.5279429,0.5040734,0.7258992,0.3820243,3
0.5470218,0.6761938,0.6291743,0.4729049,0.5040734,0.7258992,0.3820243,3
0.5470218,0.6761938,0.6291743,0.4713979,0.5040734,0.7258992,0.3820243,3
0.4524492,0.6029773,0.6291743,0.5628397,0.5040734,0.6719628,0.4451363,4
0.5470218,0.6029773,0.6291743,0.5628397,0.5040734,0.6701056,0.3850731,4
0.4542923,0.6029773,0.6291743,0.489856,0.5040734,0.6740745,0.3850731,4
0.5470218,0.6029773,0.6291743,0.489856,0.5040734,0.7169598,0.3850731,4
0.5470218,0.6029773,0.6291743,0.5319267,0.5040734,0.6701056,0.3850731,4
0.5470218,0.6029773,0.6291743,0.5628397,0.5040734,0.6701056,0.4451363,4
0.5470218,0.6029773,0.6291743,0.5604839,0.5040734,0.6701056,0.3850731,4
0.5470218,0.6029773,0.6291743,0.5628397,0.3711665,0.6701056,0.5122031,4
0.5470218,0.6029773,0.6291743,0.4961081,0.5040734,0.6701056,0.3850731,4
0.5470218,0.6029773,0.6291743,0.5628397,0.5040734,0.6701056,0.4704342,4
0.5470218,0.6029773,0.6291743,0.5786378,0.5040734,0.6701056,0.5122031,5
0.5470218,0.6029773,0.6291743,0.5786378,0.5040734,0.6701056,0.5122031,5
0.5470218,0.6029773,0.6291743,0.5786378,0.5040734,0.6701056,0.5122031,5
0.5470218,0.6029773,0.6291743,0.5786378,0.5040734,0.6701056,0.5122031,5
0.5470218,0.6029773,0.6291743,0.5786378,0.5040734,0.6701056,0.5122031,5
0.5470218,0.6029773,0.6291743,0.5786378,0.5040734,0.6701056,0.5122031,5
0.5470218,0.6029773,0.6291743,0.5786378,0.5040734,0.6701056,0.5122031,5
0.5470218,0.6029773,0.6291743,0.5786378,0.5040734,0.6701056,0.5122031,5
0.5470218,0.6029773,0.6291743,0.5786378,0.5040734,0.6701056,0.5122031,5
0.5470218,0.6029773,0.6291743,0.5786378,0.5040734,0.6701056,0.5122031,5
